weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W19,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,DONHOLM SWAHILI DISHES,70756,33202,&Lembeni Swahili dishes,0.0,6.56
2026-W19,KE,Nairobi,Sharon Chebet,SMB,activation,DONHOLM SWAHILI DISHES,70756,33202,&Lembeni Swahili dishes,1.01,0.0
2026-W16,KE,Nairobi,Serahwinfred Muoki,SMB,activation,BREAK N FAST TABLE,78234,51179,&Break n Fast Table,0.7,0.0
2026-W22,KE,Nairobi,Kevin Wawire,Mid-market,sp_engagement,KHAN S PAKISTANI KITCHEN,11595,8405,&Khan 's Pakistani Kitchen,3.98,11.94
2026-W20,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,JAVA HOUSE,23742,16728,&Nairobi Java House Limited,0.77,0.0
2026-W13,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,QUICK LIQUOR,139454,103039,QUICK LIQUOR Nairobi,0.0,4.93
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,activation,PANDA TEA,87817,59809,&Swift Panda Drinks Catering Co Ltd,1.97,0.0
2026-W22,KE,Nairobi,Michael Karigithu,Enterprise,activation,JAVA HOUSE,23462,16728,&Nairobi Java House Limited,1.82,0.0
2026-W16,KE,Nairobi,Kevin Wawire,Mid-market,activation,PANDA TEA,87817,59809,&Swift Panda Drinks Catering Co Ltd,0.98,0.0
2026-W16,KE,Nairobi,Michael Karigithu,Enterprise,activation,JAVA HOUSE,23462,16728,&Nairobi Java House Limited,2.08,0.0
2026-W13,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,JAVA HOUSE,23462,16728,&Nairobi Java House Limited,0.0,1.08
2026-W13,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_exclusivity_gain,MC FRYS,26406,18322,&Mc Fry's,0.0,6.91
2026-W13,KE,Nairobi,Serahwinfred Muoki,SMB,activation,KAREY'S KITCHEN,126303,91946,Karey's Kitchen,2.55,0.0
2026-W13,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_churn_prevention,MC FRYS,26406,18322,&Mc Fry's,1.48,0.0
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102288,69538,SIMBISA BRANDS Nairobi,0.0,25.42
2026-W22,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,NAWABS KITCHEN,83200,51087,&Nawab’s Kitchen,0.0,1.89
2026-W16,KE,Nairobi,Serahwinfred Muoki,SMB,activation,BARBEQUE NATION HOSPITALITY LTD,122473,88617,BARBEQUE NATION HOSPITALITY LTD Nairobi,0.98,0.0
2026-W20,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102288,69538,SIMBISA BRANDS Nairobi,2.32,0.0
2026-W20,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102288,69538,SIMBISA BRANDS Nairobi,0.0,30.5
2026-W13,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102288,69538,SIMBISA BRANDS Nairobi,3.0,0.0
2026-W19,KE,Nairobi,Serahwinfred Muoki,SMB,activation,PORK SITE,66974,45025,&The Pork Site Grills,2.24,0.0
2026-W19,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,270 ROOFTOP,156280,116617,270 ROOFTOP Nairobi,0.87,2.62
2026-W22,KE,Nairobi,Wambui Kogi,Mid-market,activation,KOSEWE,62862,18862,& K'Osewe,2.74,0.0
2026-W22,KE,Nairobi,Serahwinfred Muoki,SMB,activation,PORK SITE,66974,45025,&The Pork Site Grills,1.93,0.0
2026-W22,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,BUN AND BEEF,203281,151199,BUN AND BEEF Nairobi,1.99,0.0
2026-W16,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,270 ROOFTOP,156280,116617,270 ROOFTOP Nairobi,0.0,9.73
2026-W16,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,270 ROOFTOP,156280,116617,270 ROOFTOP Nairobi,3.06,9.18
2026-W16,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,270 ROOFTOP,156280,116617,270 ROOFTOP Nairobi,1.22,3.66
2026-W20,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,KAYA CUISINE,114664,82092,KAYA CUISINE RESTAURANT,0.0,3.54
2026-W20,KE,Nairobi,Serahwinfred Muoki,SMB,activation,PORK SITE,66974,45025,&The Pork Site Grills,2.06,0.0
2026-W13,KE,Nairobi,Sharon Chebet,SMB,activation,NIXA VAPES,164253,122775,NIXA VAPES Nairobi,2.75,0.0
2026-W13,KE,Nairobi,Naomi Wambui Wanjohi,SMB,provider_campaign_portal,EDEN GROVE GARDENS & RESTAURANT,179746,134461,Eden Grove Gardens & Restaurant ,0.0,0.2
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,activation,PAPA JOHN'S,83762,56407,&Express Kitchen Ltd,5.58,0.0
2026-W19,KE,Nairobi,Serahwinfred Muoki,SMB,reactivation,BOON RESTAURANT,40092,27725,&Boon Restaurant,2.76,5.13
2026-W19,KE,Nairobi,Serahwinfred Muoki,SMB,sp_reactivation,BOON RESTAURANT,40092,27725,&Boon Restaurant,0.49,1.46
2026-W16,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_churn_prevention,ARTCAFFE,41306,15278,& Artcaffe Coffee & Bakery Limited,4.54,0.0
2026-W16,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,JAJEMELO PIZZA,142979,29060,&Jajemelo Pizza,0.0,8.44
2026-W16,KE,Nairobi,Serahwinfred Muoki,SMB,activation,BOON RESTAURANT,40092,27725,&Boon Restaurant,1.94,3.61
2026-W20,KE,Nairobi,Serahwinfred Muoki,SMB,sp_reactivation,BOON RESTAURANT,40092,27725,&Boon Restaurant,0.31,0.93
2026-W20,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,MONA SWAHILI RESTAURANT,67341,45258,&Mav Foods Limited,5.5,0.0
2026-W20,KE,Nairobi,Serahwinfred Muoki,SMB,activation,BOON RESTAURANT,40092,27725,&Boon Restaurant,1.39,2.58
2026-W20,KE,Nairobi,Serahwinfred Muoki,SMB,reactivation,BOON RESTAURANT,40092,27725,&Boon Restaurant,1.82,3.39
2026-W20,KE,Nairobi,Serahwinfred Muoki,SMB,sp_activation,BOON RESTAURANT,40092,27725,&Boon Restaurant,0.23,0.69
2026-W13,KE,Nairobi,Daniel Emmanuel Arkaifie,Enterprise,provider_campaign_retail_growth,QUICKMART,166336,108865,Quickmart,1.2,0.0
2026-W13,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,URBAN CRISPY GRILL & CHILL,192432,143412,URBAN CRISPY GRILL & CHILL Nairobi,1.11,0.0
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102404,69538,SIMBISA BRANDS Nairobi,0.0,3.23
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102404,69538,SIMBISA BRANDS Nairobi,1.37,0.0
2026-W16,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,27109,12025,&Kuku Foods/KFC,4.73,0.0
2026-W20,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_locations,JAJEMELO PIZZA,197387,29060,&Jajemelo Pizza,0.0,54.9
2026-W13,KE,Nairobi,Sharon Chebet,SMB,activation,CASCADE COMPANY LIMITED,165687,123800,CASCADE COMPANY LIMITED Nairobi,3.81,0.0
2026-W13,KE,Nairobi,Naomi Wambui Wanjohi,SMB,activation,AGULU LOUNGE,8072,5672,& Agulu Lounge,1.0,0.0
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,26082,12025,&Kuku Foods/KFC,9.46,0.0
2026-W22,KE,Nairobi,Wambui Kogi,Mid-market,sp_engagement,RED GINGER,27639,19584,$Red Ginger,20.71,62.14
2026-W22,KE,Nairobi,Wambui Kogi,Mid-market,sp_reactivation,RED GINGER,27639,19584,$Red Ginger,17.81,53.43
2026-W22,KE,Nairobi,Wambui Kogi,Mid-market,sp_activation,RED GINGER,27639,19584,$Red Ginger,6.71,20.13
2026-W13,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,JAVA EXPRESS,62438,16728,&Nairobi Java House Limited,0.6,0.0
2026-W19,KE,Nairobi,Serahwinfred Muoki,SMB,sp_fully_funded,SKYLINE PIZZA,105450,74097,SKYLINE PIZZA Nairobi,0.0,0.79
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,164305,69538,SIMBISA BRANDS Nairobi,0.0,98.84
2026-W19,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,ARTCAFFE,27108,15278,& Artcaffe Coffee & Bakery Limited,0.0,3.14
2026-W19,KE,Nairobi,Kevin Wawire,Mid-market,activation,MASHAALLAH,67419,8836,&The Chef House,23.92,23.92
2026-W22,KE,Nairobi,Serahwinfred Muoki,SMB,activation,ASIAN FOOD CLASSIC,125349,91013,ASIAN FOOD CLASSIC Nairobi,0.73,0.0
